cldae taxa	clade sizde	label	runtime	nodal dist
9044	1	9044	0.8792426586151123	0
1023,2645	2	I78	1.7639720439910889	3
8610,7261	2	I38	1.7568037509918213	0
5627	1	5627	0.8794944286346436	0
3052,3513,2223,4684,2598,3284,3202,1270,3304	9	I66	7.389437437057495	0
2746	1	2746	0.8727929592132568	0
3052,3513,2223,4684,2598	5	I70	4.229609727859497	0
1576,1112,2698,1397,1133,3706,2186,3558,3525,4888,1023,2645,1850,2516	14	I74	10.998395442962646	0
5685,5280,8860,8033	4	I32	3.4122097492218018	0
1270	1	1270	0.8744800090789795	0
7202,6284	2	I36	1.7212750911712646	0
2598	1	2598	0.8669145107269287	0
9926,6744	2	I56	1.7315971851348877	0
7059,9062	2	I23	1.7243280410766602	0
8519	1	8519	0.8715739250183105	0
9812	1	9812	0.8644676208496094	0
9926,6744,8476,8421,9483,9300,8163,5695,6011,7537,5627,6433,5451,7224,6966,5621,5957,8410,9765,6020,8610,7261,7202,6284,5685,5280,8860,8033,8519,6352,8459,6363,7277,9167,6527,6461,7059,9062,7999,5792,5940,9044,5066,9812,5650,6243,8094,9641,6258,7039,6890,8731,7412,9241,9359,7417,7887	57	I1	28.73642635345459	0
8476	1	8476	0.8678414821624756	0
8033	1	8033	0.8733770847320557	1
67,2593,3045,3159,2746,1159,2086,2047,1840,2919,3086,1427,3822,1576,1112,2698,1397,1133,3706,2186,3558,3525,4888,1023,2645,1850,2516,3052,3513,2223,4684,2598,3284,3202,1270,3304,1558,1503,4776,1541,1899,37,643	43	I57	25.595020532608032	0
1576,1112,2698,1397,1133,3706,2186	7	I81	5.82235312461853	0
2746,1159	2	I96	1.7274224758148193	0
1558,1503,4776,1541	4	I62	3.408536195755005	0
5695	1	5695	0.8680934906005859	0
3045,3159	2	I97	1.732590913772583	0
3052	1	3052	0.8676481246948242	0
6243	1	6243	0.8709428310394287	0
1558,1503,4776	3	I63	2.5774714946746826	0
2047	1	2047	0.8670907020568848	0
5940	1	5940	0.8756065368652344	0
8094	1	8094	0.8711836338043213	0
6966,5621,5957	3	I43	2.5732953548431396	0
9241	1	9241	0.8718316555023193	0
7417	1	7417	0.8684580326080322	0
1576,1112,2698,1397	4	I84	3.409611463546753	0
1576,1112,2698	3	I85	2.575198173522949	0
1427	1	1427	0.8683028221130371	0
3513,2223,4684	3	I72	2.584632635116577	0
6258	1	6258	0.8678150177001953	0
8421	1	8421	0.8743350505828857	0
1840,2919,3086,1427,3822	5	I88	4.212436676025391	0
1023	1	1023	0.8671820163726807	0
7039	1	7039	0.8699800968170166	0
3284,3202	2	I69	1.7313601970672607	0
1133,3706	2	I83	1.7245733737945557	0
2645	1	2645	0.875922679901123	0
3086,1427,3822	3	I89	2.5657055377960205	0
5792,5940,9044,5066,9812	5	I17	4.224897384643555	1
8410	1	8410	0.8681862354278564	0
8459	1	8459	0.8660142421722412	0
6020,8610,7261,7202,6284	5	I35	4.226654767990112	0
3052,3513,2223,4684,2598,3284,3202	7	I68	5.841231107711792	0
3513	1	3513	0.8703117370605469	0
7059,9062,7999	3	I22	2.57356333732605	3
2593	1	2593	0.8691959381103516	0
3558	1	3558	0.8705077171325684	0
3304	1	3304	0.8746826648712158	0
1133	1	1133	0.8690700531005859	0
7039,6890,8731	3	I8	2.5804741382598877	0
7039,6890,8731,7412,9241,9359	6	I5	5.04220986366272	0
7261	1	7261	0.869379997253418	0
9926,6744,8476,8421,9483,9300,8163	7	I51	5.823747396469116	0
7202	1	7202	0.867178201675415	0
2698	1	2698	0.8692522048950195	0
7412,9241,9359	3	I6	2.575845718383789	0
9167	1	9167	0.8751249313354492	0
7537,5627,6433,5451,7224	5	I45	4.233537912368774	0
3525	1	3525	0.8703699111938477	0
7537,5627,6433,5451,7224,6966,5621,5957	8	I42	6.614978075027466	0
1112	1	1112	0.871290922164917	0
7224	1	7224	0.8697817325592041	0
7277,9167	2	I26	1.729719638824463	0
9926,6744,8476,8421,9483	5	I53	4.224422931671143	0
3086	1	3086	0.8664796352386475	0
3558,3525,4888	3	I79	2.5784432888031006	2
6744	1	6744	0.8694829940795898	0
7277,9167,6527,6461,7059,9062,7999	7	I21	5.836529731750488	0
9483	1	9483	0.8682911396026611	0
3558,3525	2	I80	1.7349755764007568	0
9926,6744,8476,8421,9483,9300,8163,5695,6011,7537,5627,6433,5451,7224,6966,5621,5957,8410,9765,6020,8610,7261,7202,6284,5685,5280,8860,8033,8519,6352,8459,6363,7277,9167,6527,6461,7059,9062,7999,5792,5940,9044,5066,9812	44	I14	25.84613347053528	0
6352,8459,6363	3	I28	2.56762433052063	0
5957	1	5957	0.8670175075531006	0
67,2593,3045,3159,2746,1159,2086,2047,1840,2919,3086,1427,3822	13	I87	10.29453444480896	0
