cldae taxa	clade sizde	label	runtime	nodal dist
6823,6653,5428,3443,3205,5917,3383,1973,8602,9818,3243,4629,8859,8861,8193,7061,108,8528,4065,6699,1970,1932,1314,8950,4286,8133,3492,5808,1138,8289,8938,2499,5219,2229,1710,3484,9098,2591,555,1586,3994,4342,6864,6022,1003	45	-	335.18260765075684	0
4565,1376,7314,4631,2519,1616,9523,4270,7238,2073,3178,847,2237,2516,487,4296,2341,9415,9266,7517,758,1818,1021,1991,3375,5458,9362,9589,4436,1515,6563,2068,9752,6119,9563,6429,9847,2740,554,8059,4471,957,7315,5955,125,4478,6512,9859,425,3538,3751,1877,5176,9145,3041,6878,9875,5826,7466	59	-	334.5794599056244	0
6697,2494,9653,5174,2908,4007,9449,7712,7347,2135,2381,5655,3194,8965,9691,9899,267,5425,6547,6302,617,1258,8488,5600,3540,6475,3276,6796,7795,1440,362,9915,7368,8924,2030,2039,3700,5337,2189,9669	40	-	335.4886531829834	0
7421,8082,2954,932,3412,2936,2605,5616,498,3369,7986,4451,3505,7410,9195,2436,9887,5895,6328,7623,917,4058,1404,9144,4844,1434,6316,3085,463,2394,8865,8311	32	-	335.70412588119507	0
9981,9961,9962,9983,9960,9946,9994,9963,9995,9949,9957,9965,9986,9999,9975,9979,9955,9984,9974,9967,9958,9997,9943,9940,9947,9972,9971,9985,9992,9959,9966,9978,9954,9951,9982,9956,9952,9980,9942,9998,9996,9953,9976,9990,9989,9977,9988,9993,9941,9945	50	-	335.49216079711914	0
8736,4475,331,1985,4465,6901,8782,6917,7354,8786,3055,3299,6694,8738,3844,8863,9334,7552,5307,54,3661,8809,6283,3500,914,7409,1934,9824,6188,470	30	-	335.8619689941406	0
1239,7938,8820,2362,9643,4750,5772,1719,2009,3750,9721,1739,816,8067,1144,7084,8161,2535,7045,5442,8116,2943,3180,3231,1044,5036,9354,2811,2885,9198,7666,6231,8774,427,2109,8822,9560,3809,1640,1007,1663	41	-	335.37552309036255	0
5827,4672,6896,7690,7624,8862,5568,2505,4070,3277,5853,9284,1111,9116,9650,6969,3730,3436,9924,7092,3187,3649,1217,8852,8401,1356,9186,2278,4133,6059,8187,6275,7627,4443,5904,7052,1813,2437,8031,2336,4970,354,3365	43	-	335.01252794265747	0
3184,4598,7639,8325,4025,6105,6099,3798,4956,2402,5711,9708,1055,6080,9812,7455,2460,8265,790,9447,7054,5592,9119,2581,2690,5116,3898,6178,5,167,5645,3058,6842,1693,7468,4496,825,8984,7483,5732,8949,3628,5196,9352,5536,9666	46	-	335.02949690818787	2
8753,4100,6104,8443,8355,1643,9506,720,6288,802,500,6782,5777,5581,2218,2276,9146,5396,254,5057,576,5861,8579,2101,6004,7555,3894,9562,6766,7442,3985,5001,6423,1046,4982,6718,5195,2547,8888,2691,7935,2315,6811,4210,5194	45	-	334.7869415283203	0
636,4878,1924,9754,7502,4979,4162,7835,4544,1353,6533,2955,8932,1412,9349,8856,9093,7106,1712,5302,5273,5629,4709,6440,5056,5262,3036,4715,8100,2859,6334,4080,911,1517,8989,9232,6036,2430,3679,7870,2812,3045,8004,280,431,7328	46	-	335.07884073257446	0
8253,4828,9547,3287,5605,1307,4515,1159,3252,233,3504,630,8366,4906,1748,2675,9765,8825,2377,4369,551,6357,4074,4030,6482,8612,9457,9540,6479,3847,5915,3653,6965,8024,9626,3787,8735,8466,5361,4850,1384,5053,4927,3462,7727,4444,5897,698,8907,4327,7095,1919	52	-	334.1588158607483	0
4118,2575,7759,2132,7660,6213,3144,3415,2250,84,4093,7037,7259,1477,9901,809,1513,6515,8245,3177,658,819,605,8034,9068,210,1996,2206,9659,2297,6998	31	-	335.3421676158905	0
4972,2544,5007,8409,5429,9226,9122,9905,2112,2083,2075,1188,1767,9794,7082,5557,4219,3736,9546,4039,5420,7179,2956,6208,1071,9849,2791,1341,2157,3795,7222,5299,3127,7073,3441,4984,6805,4696,5131,5751,3090,9224,9871	43	-	334.83172154426575	0
113,8673,1659,8408,3352,8769,193,7102,4643,5212,8929,8677,9091,9305,558,1103,3964,2188,1449,8040,3906,8487,8506,7190,2671,2971,2974,5789,5413,4161,6057,2164,9521,1236,3469,921,9080,7019,3684,9034	40	-	335.2345039844513	0
9100,3401,9656,9775,4816,8755,6240,9023,9035,9821,6902,3047,3664,8715,4951,9836,4187,3862,74,6561,6793,7030,4469,9368,7892,5743,90,314,5012,3886	30	-	336.6512978076935	0
120,8107,2977,8264,6132,888,7658,4411,7610,1210,823,1519,1041,8155,1076,5149,4708,4160,4253,3241,4353,8358,2012,4840,1409,7441,1377,3991,3301,3176,8036,2242,7556,1943,153,1288,8438,7845,7546	39	-	335.2834258079529	0
9670,8659,7015,4623,8757,160,8240,5177,8588,5477,8635,5423,8463,8571,4792,9722,2326,3260,2862,2650,9386,5393,9397,8626,1623,184,2607,9935,1256,6002,4911,8268,9531,1918,8189	35	-	334.47720193862915	0
2086,491,2625,4073,891,9410,6493,6519,975,4352,5495,2440,8887,8419,1928,7957,6000,565,5013,3044,7420,8886,9233,1193,8512,1450,5781,5254,3878,7406,4845,7143,3470,3591,8172,6649,8547,3308,6841,543,9402,8280,6940,1899,4313,6989,3712,5644,6871,4804,7510	51	-	334.76241064071655	0
4718,7942,9222,9376,5874,4725,5647,2054,6068,2160,7757,9358,3882,4450,6398,8618,8920,5275,9845,3214,5204,6928,4791,705,1100,7213,4242,7785,4644,8625,2781,2051,8798,2537,2932,6581,399,6814,4156,7650,3940,9079,8192,9310,2632,3006,8456,9003	48	-	334.8140940666199	1
26,8383,2707,7416,6179,4919,2914,3133,7729,6689,2379,1158,2557,3917,9890,6306,3402,1500,4503,7751,615,7336,248,9064,4323,5790,353,27,2015,266,5224,5081,1497,3126	34	-	335.5787994861603	0
156,2674,4710,2071,9425,869,9024,8850,7917,4144,537,1162,4815,4051,995,3900,1130,8105,2904,938,5324,3350,2985,9525,7939,2611,6414,3551,5847,7824,8354,6592	32	-	335.822705745697	0
5379,598,6192,9682,6743,3147,831,5315,6015,459,8221,4590,5121,8860,5145,3999,4691,3337,6008,1005,9538,5147,2159,6225,1416,9586,7877,2536,730,8969,2895,7827,5832	33	-	335.08498215675354	0
1551,6892,6274,3057,671,6926,1219,9898,8295,5611,7266,4069,2146,432,2380,5173,8776,1633,3907,9700,7214,5518,1770,1762,6714,1766,3682,2021,7925,4980,6880,8263,650,5858,1141,7432,6282,5160,7018,6385,7710,7449,3146,5953,506,7048,5358,8696,7766,3393,7566,2561,9827,538,8394,1888,257	57	-	334.56037402153015	0
319,5085,5689,5564,5180,6760,3752,9045,7283,3031,1437,2644,2549,3761,4371,2077,6169,8190,8628,313,657,5150,3338,75,6916,5561,1549,8919,4403,395,6621,9785,1971,8094,5094,1110,173,6620,6713,2,6373,7673,6428,596,5555,366,194,4686,1420,1889,3532,2156,1579,3944,6212,7677	56	-	334.50540351867676	1
9134,684,528,4271,7974,3303,1150,6564,333,4726,6317,3553,2720,5083,5899,8679,935,361,123,8692,540,3166,5989,4032,8669,2386,4364,7022,4108,1999,1234,942,4826,7397,7057,8481,894,1543,5621,3951,4388,145,5656,2435,8134	45	-	335.14665055274963	0
6125,109,5185,8283,5032,1230,4959,9553,1487,1819,5117,5507,8179,5681,2686,9396,1979,5264,1744,7380,6111,3507,5341,9359,2363,3124,9508,7424,4228,3406,3143,6325,3472,584,883,2281,1997,3221,3510,464,4231,2382,3929	43	-	335.275039434433	0
4753,8066,8639,7119,4458,893,4741,8559,1494,5076,8821,8529,9112,4867,2851,6305,527,7903,281,695,1516,7181,8841,1366,2829,7191,2515,9841,3384,2201,29,5925,3826,876,2783,6223,58,263,116,9868,5911,6557	42	-	335.70361709594727	0
2339,4852,1086,7754,2349,4460,7573,4018,3315,345,3439,689,7532,2476,6660,3024,6768,7793,4213,7891,7769,6712,7525,5107,5388,5593,8670,306,2007,3213,813,4719,4028	33	-	342.17078280448914	0
5095,6186,2899,8101,7577,5499,3109,7943,8038,1295,3175,8764,916,9278,6534,5096,3257,3159,9611,6885,8395,2598,5498,1052,5885,6839,959,8734,6963,6210,2979,2493,483,7149,2833,8878,5135,9450,3837,5295,5306,3362,392,9132,8609,7302,1105,9519,4977,6371,7268	51	-	374.5749125480652	0
8338,860,3447,6303,446,4819,1140,2610,2214,1646,739,5308,7741,5778,344,9294,2487,5869,3765,8606,9244,6100,7465,7696,171,8535,2311,2107,4907,8332,3687,3017,750,283,5282,3040,4324,8876,7764,2865,1426,9665,8521,7183,3069,3285	46	-	373.7407593727112	0
4509,2727,2045,9015,6446,1998,1828,6899,6680,5649,3490,7322,5155,6097,1396,9316,6830,9840,9170,8726,6389,3792,8406,5977,8744,7582,1545,4571,7848,6979,25,8627,693,6258,2152,2695,7771,4053,3438,9606,9371,7392,250,6923,7748,2730,1914,9192,7711,2406,8728,2171,2815,3950,956	55	-	373.7217471599579	0
4549,5115,3984,2365,3937,4003,410,5749,6374,2669,2509,2182,1995,870,3013,4591,1615,3656,6687,4534,2721,8666,8905,3330,8690,1673,2502,4952,2464,497,69	31	-	374.1106424331665	0
