cldae taxa	clade sizde	label	runtime	nodal dist
1986,1952,314,2380,2117,2458,1914,1726,2996,3138,99,358,1002,555,2105,3140,3075,819,1638,1077,3106,2483,2144,2982,1824,414,2648,2323,2395,1488,348,1661,2971,292,2331,2933,2255,2468,3110,2998,2663,2533,2799	43	-	5301.781469345093	2
7786,4571,9515,6358,7753,7945,9054,8905,4687,3298,9586,7527,6844,4444,8537,5001,8830,4852,5452,3418,6787,7154,7221,9868,3483,7981,8087,3960,6118,4488,7788,7562,7281,9975,5773,5838,8447,4352,7643,4894,5821,5750,4826,6562,4468,3220,7660,4606,4009,8335,7709,5769,7020,7293,9524,9564,3407,4602,4964	59	-	7284.38525056839	0
5132,9958,4519,7053,9773,4816,7805,7708,5490,3595,3473,7211,3511,7747,4976,7054,4063,4836,7375,4677,8833,3958,9629,4671,8667,5944,9527,5146,3560,9633,9422,9766,6779,6935,8187,9133,7376,4807,5083,9239,7686,6037,4818,8595	44	-	5986.9452688694	0
1831,891,1965,1082,1075,396,1751,1221,660,30,276,2335,2925,2214,2659,1003,341,1553,478,462,2142,1765,2507,25,752,2109,399,1578,1903,2259,2861,505	32	-	4386.516983509064	0
7809,8948,5418,5496,4099,3563,8040,9551,4850,8367,9910,8622,5438,3953,6334,4091,4000,3662,4143,4366,7607,4721,5876,9660,6175,9402,4228,5374,3738,9700,4891,5960,6158,3880,3818,3978,3508,4079,8014,3739,7190,6697,9577,3248,9756,4857,3706,6766,7337,3652,6468,7611,7251,5611,8284	55	-	7111.565952539444	0
8971,3634,7415,5680,9292,3762,7477,4549,4472,7203,8294,3885,6710,6634,9252,4411,6236,5233,7784,5122,4965,6721,8481,7752,9248,4692,9994,8874,7768,6617,5963,9532,3570,6291,9863,5034,9408,3342,4943,7389,8954,3989,8946,5437,4890,9732,9828	47	-	5509.004021406174	0
7385,9246,3874,5923,3475,6278,9702,6876,4280,3639,8691,9434,5795,7178,8239,7173,6947,9520,9295,9007,4580,6976,5220,4942,8588,7871,3572,7502,5149,6316,8054,4810,9282	33	-	3877.2941451072693	0
1939,290,2180,119,1929,1129,637,1720,1235,1270,2179,3092,2989,783,2298,2192,2573,1074,2371,2289,2379,3077,1547,2525,1635,1608,1841,321,655,1560,2600,210,1223,2764,1585,1467,2074,328,239,870,1202,3179,88,3086,2895,1431,843,1474,2199,2324,681,684,2835	53	-	6204.880903720856	0
1577,2786,1619,2706,538,2993,507,2544,2527,1653,704,728,11,2425,726,34,91,2540,401,1906,2774,2849,2,2880,588,288,174,269,1930,2582,933,2016,746,1379	34	-	4026.2542383670807	0
8189,8455,8997,8770,6691,7233,4375,4162,6025,3860,3640,5830,8114,7791,8718,7842,8523,5659,7658,7684,8844,4654,7479,9920,9364,9559,3501,5655,6714,5817,6405,3687	32	-	3754.87602186203	0
