cldae taxa	clade sizde	label	runtime	nodal dist
129	1	129	14.666045188903809	0
1870,6238,5578,6817,4605,3320	6	I77	14.57986569404602	0
9293	1	9293	14.619539737701416	0
696	1	696	14.635692119598389	0
7440,2061,3940,3036,8390	5	I284	14.540761232376099	0
9433	1	9433	14.62502121925354	0
7263	1	7263	14.624464511871338	0
8445,5653	2	I449	14.622314691543579	3
8386	1	8386	14.634141206741333	0
3004	1	3004	14.660322427749634	0
5462	1	5462	14.65778923034668	0
6143	1	6143	14.608953475952148	0
1818	1	1818	14.631971836090088	0
9769,9553,9682,8871	4	I13	14.544598817825317	0
5524,4266,112,6975,8621,7076,5832,7472,6559,5287,5765,2639,776,5517,1556,4647,1147,6497,4625,1923,4136,4172,6830,6522,57,3037,6262,7365,6031,2056,1943,5459,8774,2738,6567,6060,2031,1576,712,8582,6594,5711,7868,5744,1677,2503,394,5892,5930,4259,585,5897,2349,8005,8445,5653,4301,7939,7784,4103,3005,6310,4554,7559,4640,765,4725,7608,7202,1256,5443,6526,874,2673,4497,5220,7641,6791,4515,1864,8777,3987,6250,3534,3407,7626,5231,5796,7219,4887,369,1862,6263,4284,1542,6221,7717,2501,1183,963,1924,1405,6143,6237,4747,5007,6481,3255,1231,6362,7368,3004,6787,6581,4730,7196,3195,4072,8803,510,2737,2692,3505,7538,1313,8722,374,3817,7859,2205,5455,5150,6374,5076,117,2372,7592,425,7401,5175,4085,1714,5814,8018,4635,7454,3951,6712,7146,6776,2448,3029,2335,294,4487,8712,624,3660,6215,7127,7425,974,8423,4653,8676,1252,7460,536,4785,3982,7576,6464,8601,3093,456,7862,3128,7443,5576,2370,2274,762,2523,7024,1525,5089,252,8386,1857,8495,7116,6911,245,5197,4387,1818,3763,8059,2396,3113,5215,3498,6321,6546,7722,1929,8213,3281,8737,1798,2476,6529,584,7263,4956,3965,1328,2548,7440,2061,3940,3036,8390,4547,3619,126,3124,5079,6612,7677,4045,1704,2454,7950,2374,6668,5106,4525,3349,4220,2587,7154,3253,2571,474,8078,862,8611,1358,8298,5786,5173,5137,2075,7412,284,4238,4981,8321,7173,6395,2157,5713,3448,4222,2496,5868,8267,1908,6677,7494,4966,2556,4066,2243,7882,3416,2981,4513,6102,2118,517,129,3334,3630,675,7366,8785,7586,7015,1052,4512,8113,7346,577,6346,8024,696,1204,1863,3725,1950,4032,4738,5105,646,6071,7937,2725,5441,3684,831,1472,4941,1332,6801,3734,3571,2020,4786,5944,6421,7060,1865,3552,4947,2100,2272,4077,7124,4401,5568,748,4848,5462,8625,5113,8587,4539,7270,3421,3270,53,7336,8262,2328,594,6229,7035,7079,5534,1333,5383,4176,5829,739,4736,8319,7521,685,3635,5751,1243,4637,2775,2234,5081,8223,4842,5080,6836,6317,8766,7313,4682,7320,3772,6270,1787,4621,7873,2528,2488,7554,1429,5445,7687,1120,3948,1965,8174,4840,8532,6859,6748,243,421,5373,2276,8356,2852,5624,6165,674,3914,2834,5609,7016,1043,1247,332,3392,4471,4264,8426,3231,8228,330,1870,6238,5578,6817,4605,3320,4962,2480,5623,7920,7905,3918,836,3054,2302,7945,4048,1488,5889,4385,759,5874,958,2363	442	I58	4.0455615520477295	2
4625	1	4625	14.63676381111145	0
7722,1929,8213	3	I300	14.584150314331055	0
1870	1	1870	14.585109949111938	0
8777	1	8777	14.61924409866333	0
1798,2476,6529,584,7263,4956	6	I292	14.483681440353394	0
4539,7270,3421,3270,53,7336,8262,2328,594	9	I158	14.422028064727783	0
1950,4032	2	I201	14.596540927886963	0
4048,1488,5889,4385,759	5	I64	14.526794672012329	2
2374,6668,5106,4525,3349	5	I265	14.472129821777344	0
6526	1	6526	14.592488527297974	0
4172	1	4172	14.600805282592773	0
8712	1	8712	14.620915174484253	0
2775	1	2775	14.59637451171875	0
6911	1	6911	14.663025379180908	0
4947,2100,2272,4077	4	I175	14.49737000465393	0
1943,5459,8774,2738,6567	5	I469	14.518373966217041	0
4621,7873	2	I125	14.637724161148071	0
2480	1	2480	14.599406719207764	0
57	1	57	14.677643537521362	0
8582,6594	2	I464	14.630271673202515	0
5897,2349,8005	3	I450	14.568583250045776	2
874,2673,4497,5220,7641,6791,4515,1864,8777,3987,6250,3534,3407,7626,5231,5796,7219,4887,369,1862,6263,4284,1542,6221,7717,2501,1183,963,1924,1405,6143,6237,4747,5007,6481,3255,1231,6362,7368,3004,6787,6581,4730,7196,3195,4072,8803,510,2737	49	I383	13.422043800354004	0
3416,2981	2	I226	14.628563404083252	0
4682	1	4682	14.604583740234375	0
8611	1	8611	14.633261680603027	0
8262	1	8262	14.656479120254517	0
9433,9340,9166	3	I29	14.574239492416382	0
3660	1	3660	14.612300872802734	0
5874	1	5874	14.655019283294678	3
3349	1	3349	14.599833250045776	0
4103	1	4103	14.634855270385742	0
6317	1	6317	14.664103746414185	3
4220,2587,7154,3253,2571,474,8078,862,8611,1358	10	I256	14.378865242004395	0
7722,1929	2	I301	14.550743341445923	0
4621,7873,2528	3	I124	14.62485122680664	0
8887,8848	2	I55	14.570790767669678	0
9593,9964,9283,8887,8848,9423,9070,9445,9938,8843,9434,9761,9572,9979,9122,9391,9940,9738,8930,9973,8960,9778,9668,9546,9458,9344,9917,9734,9116,9433,9340,9166,9598,9717,9293,9793,9864,8854,8895,9185,9764,9718,9534,9733,9856,9769,9553,9682,8871,9339,9361,8966,9227,8919,9999,9956,9304,9131	58	I1	13.24566650390625	0
117,2372,7592,425	4	I365	14.547219038009644	0
6270,1787,4621,7873,2528,2488,7554,1429	8	I120	14.447487115859985	1
2370,2274,762,2523	4	I323	14.601953506469727	0
2205	1	2205	14.63040041923523	0
4848,5462,8625	3	I169	14.552979707717896	0
1965	1	1965	14.641513109207153	0
6421	1	6421	14.607706308364868	0
5624,6165,674,3914	4	I97	14.560876846313477	0
8611,1358	2	I257	14.589913129806519	0
4840	1	4840	14.62780475616455	0
2503,394,5892,5930	4	I457	14.533632516860962	0
5751	1	5751	14.613904237747192	0
6165	1	6165	14.590598106384277	0
4264,8426	2	I88	14.581905126571655	0
9973,8960,9778	3	I38	14.591267347335815	0
1043	1	1043	14.633554220199585	0
3392	1	3392	14.629037141799927	0
